날짜,전일비,시가,고가,저가,종가,거래량
2024-10-17,+4500,403000,411000,402500,409000,84464
2024-10-16,+1000,415000,415000,404500,404500,495248
2024-10-15,-2500,407500,409000,389500,403500,631127
2024-10-14,-5000,407500,413500,402500,406000,245480
2024-10-11,-16000,426500,428500,408500,411000,441897
2024-10-10,-9500,432000,433000,421000,427000,635669
2024-10-08,+16500,416500,444000,412000,436500,803706
2024-10-07,+16500,413500,426000,409000,420000,433698
2024-10-04,-5000,403500,406000,396000,403500,255155
2024-10-02,-6000,409500,421500,408500,408500,245424
