날짜,종가,거래량
2024-10-15,339000,139028
2024-10-14,350500,283883
2024-10-11,354500,268871
2024-10-10,356500,355580
2024-10-08,361000,341075
2024-10-07,359000,312315
2024-10-04,348500,262280
2024-10-02,353500,334645
2024-09-30,356500,398091
2024-09-27,357500,477097
2024-09-26,358000,310692
2024-09-25,348500,554936
2024-09-24,346000,619371
2024-09-23,319000,212728
2024-09-20,316500,338962
2024-09-19,319500,254625
2024-09-13,321500,166966
2024-09-12,320500,267862
2024-09-11,315500,258088
2024-09-10,306500,241348
2024-09-09,309500,261256
2024-09-06,311500,274201
2024-09-05,321500,243178
2024-09-04,324000,288314
2024-09-03,333000,300066
2024-09-02,340000,628791
2024-08-30,321500,300871
2024-08-29,320500,365891
2024-08-28,313500,263763
2024-08-27,319000,266835
2024-08-26,317000,306821
2024-08-23,315000,278249
2024-08-22,316000,477216
2024-08-21,298000,315259
2024-08-20,291500,186647
2024-08-19,289500,134205
2024-08-16,292500,178695
2024-08-14,296000,135332
2024-08-13,288500,149417
2024-08-12,290000,116247
2024-08-09,286000,266416
2024-08-08,276500,513713
2024-08-07,290000,234689
2024-08-06,289500,522030
2024-08-05,272500,739306
2024-08-02,308500,184521
2024-08-01,314000,234675
2024-07-31,305500,166216
2024-07-30,305000,213468
2024-07-29,308000,177920
2024-07-26,307000,269526
2024-07-25,313000,358228
2024-07-24,310000,310446
2024-07-23,312500,365796
2024-07-22,320000,276341
2024-07-19,333500,303750
2024-07-18,333500,201812
2024-07-17,335500,382543
2024-07-16,341500,471069
2024-07-15,359000,272945
2024-07-12,367500,211244
2024-07-11,366500,479591
2024-07-10,356000,225609
2024-07-09,362500,200811
2024-07-08,360500,167941
2024-07-05,361000,156023
2024-07-04,362000,178230
2024-07-03,360000,352143
2024-07-02,353000,196964
2024-07-01,355500,245435
2024-06-28,345500,221160
2024-06-27,344000,241552
2024-06-26,352000,180895
2024-06-25,351000,201226
2024-06-24,356000,163598
2024-06-21,355500,250301
2024-06-20,361500,269674
2024-06-19,359500,306960
2024-06-18,351500,208142
2024-06-17,355000,322322
2024-06-14,361000,448269
2024-06-13,367000,393893
2024-06-12,371500,234425
2024-06-11,375000,298873
2024-06-10,370500,270879
2024-06-07,382000,247532
2024-06-05,374500,395879
2024-06-04,361000,184831
2024-06-03,357500,275342
2024-05-31,351500,502915
2024-05-30,350500,634361
2024-05-29,370500,581535
2024-05-28,391000,211698
2024-05-27,396500,289057
2024-05-24,394000,317431
2024-05-23,394000,343337
2024-05-22,383000,153439
2024-05-21,384500,284865
2024-05-20,391500,321170
2024-05-17,398000,204095
2024-05-16,404000,293066
2024-05-14,402500,293777
2024-05-13,391000,277871
2024-05-10,397000,116254
2024-05-09,396500,231065
2024-05-08,402000,150249
2024-05-07,402000,252320
2024-05-03,403500,146460
2024-05-02,405000,276804
2024-04-30,402500,525542
2024-04-29,395500,607744
2024-04-26,373500,224588
2024-04-25,373000,258272
2024-04-24,381500,293307
2024-04-23,372000,244370
2024-04-22,378000,301294
2024-04-19,370500,348850
2024-04-18,378500,264859
2024-04-17,375500,301786
2024-04-16,382000,304367
2024-04-15,394500,242936
2024-04-12,393000,260610
2024-04-11,387000,490848
2024-04-09,395000,255430
2024-04-08,394000,464147
2024-04-05,400000,340599
2024-04-04,402500,274989
2024-04-03,403000,479871
2024-04-02,424000,250523
2024-04-01,430500,239956
2024-03-29,439000,158560
2024-03-28,440000,210043
2024-03-27,444000,236697
2024-03-26,449000,303727
2024-03-25,460500,275423
2024-03-22,449500,263558
2024-03-21,439000,214431
2024-03-20,438500,165255
2024-03-19,436500,229435
2024-03-18,440000,237874
2024-03-15,431000,310713
2024-03-14,440000,410324
2024-03-13,450000,382300
2024-03-12,450500,364050
2024-03-11,436000,181317
2024-03-08,443000,288423
2024-03-07,443000,311412
2024-03-06,441500,290385
2024-03-05,452500,242147
2024-03-04,462000,290424
2024-02-29,453000,448418
2024-02-28,464500,186537
2024-02-27,466000,359912
2024-02-26,472500,376704
2024-02-23,472000,512499
2024-02-22,481000,451942
2024-02-21,500000,293801
2024-02-20,506000,295676
2024-02-19,508000,358152
2024-02-16,504000,587439
2024-02-15,483500,423918
2024-02-14,461000,323305
2024-02-13,471000,379733
2024-02-08,470500,768536
2024-02-07,463500,363161
2024-02-06,462500,311282
2024-02-05,467000,487996
2024-02-02,461000,679677
2024-02-01,430000,312842
2024-01-31,434500,245248
2024-01-30,426500,287657
2024-01-29,425000,245972
2024-01-26,416500,312594
2024-01-25,404500,197843
2024-01-24,400500,288449
2024-01-23,391000,285986
2024-01-22,387000,474355
2024-01-19,404500,287727
2024-01-18,412000,308307
2024-01-17,408500,627074
2024-01-16,432000,241396
2024-01-15,438500,264758
2024-01-12,449000,357185
2024-01-11,459500,243938
2024-01-10,464500,146052
2024-01-09,471500,146249
2024-01-08,479000,122976
2024-01-05,482500,131560
2024-01-04,481000,147635
2024-01-03,480500,168770
2024-01-02,493500,160698
2023-12-28,499000,199695
2023-12-27,486000,202496
2023-12-26,490500,160900
2023-12-22,490000,140767
2023-12-21,495000,206883
2023-12-20,504000,197344
2023-12-19,502000,204428
2023-12-18,498000,289001
2023-12-15,493000,615510
2023-12-14,464000,375683
2023-12-13,460000,207659
2023-12-12,472000,188152
2023-12-11,475500,194422
2023-12-08,478500,153815
2023-12-07,468500,173904
2023-12-06,471000,206370
2023-12-05,471000,218525
2023-12-04,473000,338110
2023-12-01,486500,299762
2023-11-30,501000,287538
2023-11-29,504000,326444
2023-11-28,504000,195567
2023-11-27,506000,159379
2023-11-24,514000,269104
2023-11-23,519000,339574
2023-11-22,504000,137990
2023-11-21,501000,173343
2023-11-20,493500,236740
2023-11-17,484000,195198
2023-11-16,480000,141192
2023-11-15,480000,261064
2023-11-14,465000,196531
2023-11-13,453500,180132
2023-11-10,457500,192219
2023-11-09,467500,378393
2023-11-08,478000,276747
2023-11-07,492000,539187
2023-11-06,521000,713254
2023-11-03,471000,296159
2023-11-02,455500,285900
2023-11-01,431000,352808
2023-10-31,440000,433840
2023-10-30,445000,363083
2023-10-27,438500,601730
2023-10-26,426000,685812
2023-10-25,458000,405933
2023-10-24,492000,340115
2023-10-23,481000,292347
2023-10-20,479000,349050
2023-10-19,494000,462488
2023-10-18,506000,177343
2023-10-17,516000,193389
2023-10-16,513000,257701
2023-10-13,528000,149218
2023-10-12,529000,320061
2023-10-11,518000,356936
2023-10-10,497500,271381
2023-10-06,499500,169375
2023-10-05,502000,286883
2023-10-04,486000,544310
2023-09-27,496500,379178
2023-09-26,505000,228941
2023-09-25,509000,224034
2023-09-22,517000,254370
2023-09-21,525000,599866
2023-09-20,551000,239783
2023-09-19,552000,293242
2023-09-18,573000,204926
2023-09-15,573000,366386
2023-09-14,553000,329285
2023-09-13,540000,330861
2023-09-12,559000,132378
2023-09-11,561000,120007
2023-09-08,564000,271069
2023-09-07,577000,225581
2023-09-06,585000,147451
2023-09-05,592000,174044
2023-09-04,586000,273574
2023-09-01,570000,163494
2023-08-31,583000,287714
2023-08-30,576000,290928
2023-08-29,560000,157444
2023-08-28,563000,191493
2023-08-25,560000,197844
2023-08-24,563000,215589
2023-08-23,562000,160649
