날짜,종가,거래량
2024-10-15,249000,105017
2024-10-14,248500,307668
2024-10-11,248500,282919
2024-10-10,246000,641891
2024-10-08,246000,413552
2024-10-07,247000,731171
2024-10-04,239500,856583
2024-10-02,237000,1035510
2024-09-30,244000,1032595
2024-09-27,254500,493853
2024-09-26,259000,766978
2024-09-25,251500,575575
2024-09-24,253000,429463
2024-09-23,249000,484728
2024-09-20,250500,809348
2024-09-19,246000,848380
2024-09-13,237000,524969
2024-09-12,232000,660069
2024-09-11,223500,781938
2024-09-10,231000,364974
2024-09-09,229500,638085
2024-09-06,227500,710077
2024-09-05,229000,884047
2024-09-04,232500,942257
2024-09-03,237500,1024521
2024-09-02,246000,1006660
2024-08-30,255500,1206940
2024-08-29,258500,1646679
2024-08-28,259000,1170970
2024-08-27,247500,555018
2024-08-26,249500,469538
2024-08-23,252500,449189
2024-08-22,248000,497250
2024-08-21,252500,359513
2024-08-20,256000,660818
2024-08-19,255000,739313
2024-08-16,255000,1113073
2024-08-14,241000,500276
2024-08-13,243000,358474
2024-08-12,243500,469844
2024-08-09,243000,606967
2024-08-08,236500,698685
2024-08-07,236000,756779
2024-08-06,235000,1250180
2024-08-05,224000,1465965
2024-08-02,244000,889521
2024-08-01,253500,734315
2024-07-31,249000,594919
2024-07-30,250000,594899
2024-07-29,255500,1302271
2024-07-26,243500,2662741
2024-07-25,251500,832753
2024-07-24,258500,608412
2024-07-23,263500,803042
2024-07-22,255000,769457
2024-07-19,258500,737904
2024-07-18,260500,1083373
2024-07-17,268500,512968
2024-07-16,274500,552065
2024-07-15,268500,541442
2024-07-12,271500,666813
2024-07-11,278500,653458
2024-07-10,274500,672155
2024-07-09,274500,1135540
2024-07-08,283000,603805
2024-07-05,281000,586121
2024-07-04,277500,552767
2024-07-03,276000,1072157
2024-07-02,272500,1558999
2024-07-01,286000,864443
2024-06-28,295000,761453
2024-06-27,298000,1157313
2024-06-26,289500,694207
2024-06-25,288500,1023261
2024-06-24,281000,598019
2024-06-21,280000,876560
2024-06-20,285500,629996
2024-06-19,286500,1228960
2024-06-18,283000,1667920
2024-06-17,278500,1945849
2024-06-14,268000,778015
2024-06-13,269000,1862106
2024-06-12,270000,567334
2024-06-11,271000,967240
2024-06-10,267500,945927
2024-06-07,265000,519878
2024-06-05,264000,882084
2024-06-04,259000,660409
2024-06-03,265000,1186533
2024-05-31,253000,1014549
2024-05-30,257000,640526
2024-05-29,261000,965532
2024-05-28,265000,598743
2024-05-27,265500,1011436
2024-05-24,267500,1059149
2024-05-23,271500,1886248
2024-05-22,277000,3336634
2024-05-21,253000,576613
2024-05-20,250500,860566
2024-05-17,244000,408947
2024-05-16,247000,559548
2024-05-14,246500,670650
2024-05-13,245000,550255
2024-05-10,241500,455541
2024-05-09,237000,704379
2024-05-08,242000,444082
2024-05-07,242000,799659
2024-05-03,241000,727057
2024-05-02,249000,602350
2024-04-30,251000,545747
2024-04-29,251500,852780
2024-04-26,249500,980459
2024-04-25,250000,1297404
2024-04-24,252500,1242059
2024-04-23,249500,1153091
2024-04-22,245000,1314974
2024-04-19,235000,1174278
2024-04-18,231000,1168222
2024-04-17,233500,1029202
2024-04-16,242000,1201766
2024-04-15,241500,1018783
2024-04-12,238000,997710
2024-04-11,241000,1853791
2024-04-09,228000,663665
2024-04-08,232500,1245057
2024-04-05,225500,1121453
2024-04-04,226000,1357330
2024-04-03,216000,1138600
2024-04-02,220000,1802613
2024-04-01,227500,898781
2024-03-29,233000,852346
2024-03-28,237000,1050347
2024-03-27,244000,818180
2024-03-26,240500,802094
2024-03-25,239500,784822
2024-03-22,243500,1091572
2024-03-21,252000,1578378
2024-03-20,241000,1230314
2024-03-19,237500,944727
2024-03-18,242500,723835
2024-03-15,243500,1175933
2024-03-14,251500,1574794
2024-03-13,248500,1413782
2024-03-12,241500,1096802
2024-03-11,243500,1178615
2024-03-08,253000,1210240
2024-03-07,250000,988457
2024-03-06,251000,1103072
2024-03-05,249000,1436614
2024-03-04,255500,1854280
2024-02-29,250500,2056620
2024-02-28,248000,1911431
2024-02-27,238500,1265434
2024-02-26,239000,1751340
2024-02-23,244000,1660625
2024-02-22,243500,1475580
2024-02-21,239500,1149137
2024-02-20,242000,1944653
2024-02-19,252500,1801441
2024-02-16,252500,2261790
2024-02-15,240000,2103428
2024-02-14,245500,1702299
2024-02-13,249000,2690468
2024-02-08,250000,3017429
2024-02-07,245000,2711612
2024-02-06,235500,3293825
2024-02-05,238000,5742710
2024-02-02,227000,5844398
2024-02-01,208000,2855056
2024-01-31,194600,1053355
2024-01-30,190000,955999
2024-01-29,195600,1199045
2024-01-26,187300,468376
2024-01-25,188700,778658
2024-01-24,185000,345726
2024-01-23,184800,376671
2024-01-22,180100,391914
2024-01-19,181700,288166
2024-01-18,180200,433597
2024-01-17,181800,481127
2024-01-16,186200,225780
2024-01-15,187500,251099
2024-01-12,186000,240690
2024-01-11,187000,538799
2024-01-10,186700,330767
2024-01-09,185600,349068
2024-01-08,185700,323498
2024-01-05,187300,440219
2024-01-04,190000,505979
2024-01-03,193800,548675
2024-01-02,200500,373050
2023-12-28,203500,766503
2023-12-27,198500,331186
2023-12-26,198800,409928
2023-12-22,199000,347866
2023-12-21,198700,545031
2023-12-20,199100,961888
2023-12-19,192200,272670
2023-12-18,192000,482331
2023-12-15,192800,1228522
2023-12-14,184800,760383
2023-12-13,185000,287425
2023-12-12,185600,332590
2023-12-11,185400,218073
2023-12-08,185100,327749
2023-12-07,182600,296154
2023-12-06,182900,280528
2023-12-05,181400,275980
2023-12-04,181600,378913
2023-12-01,182800,304309
2023-11-30,184300,574490
2023-11-29,184800,298485
2023-11-28,185700,269820
2023-11-27,184900,188306
2023-11-24,184000,161656
2023-11-23,184800,240354
2023-11-22,183000,219027
2023-11-21,184200,252833
2023-11-20,183600,277906
2023-11-17,184400,259919
2023-11-16,184800,432174
2023-11-15,182500,806741
2023-11-14,175200,329429
2023-11-13,173300,348523
2023-11-10,173700,255065
2023-11-09,174700,384071
2023-11-08,174800,395162
2023-11-07,176100,532443
2023-11-06,177900,661383
2023-11-03,173400,431491
2023-11-02,172000,661435
2023-11-01,170300,450423
2023-10-31,169700,697296
2023-10-30,172500,726773
2023-10-27,175600,787539
2023-10-26,179500,651245
2023-10-25,182000,374888
2023-10-24,182800,418638
2023-10-23,185400,286602
2023-10-20,183500,602367
2023-10-19,188900,408555
2023-10-18,191800,532948
2023-10-17,188500,423633
2023-10-16,186800,291429
2023-10-13,187100,254250
2023-10-12,188000,451893
2023-10-11,189400,490998
2023-10-10,188400,575373
2023-10-06,192200,345787
2023-10-05,190500,396264
2023-10-04,190800,641075
2023-09-27,191100,367983
2023-09-26,190700,302642
2023-09-25,192900,346374
2023-09-22,191500,326229
2023-09-21,191900,327599
2023-09-20,194900,636780
2023-09-19,190000,289352
2023-09-18,191000,289943
2023-09-15,192200,526604
2023-09-14,190700,627998
2023-09-13,189800,579550
2023-09-12,186200,273908
2023-09-11,185500,195283
2023-09-08,185700,192047
2023-09-07,187200,299030
2023-09-06,186700,259552
2023-09-05,186600,290618
2023-09-04,187300,307475
2023-09-01,187400,281460
2023-08-31,189100,590270
2023-08-30,187800,331121
2023-08-29,186700,321448
2023-08-28,185400,300125
2023-08-25,186200,368503
2023-08-24,186400,320108
2023-08-23,187500,252159
2023-08-22,187900,297596
2023-08-21,186100,279766
2023-08-18,186100,420787
2023-08-17,184800,458036
2023-08-16,185800,563291
2023-08-14,188800,297138
2023-08-11,190500,529916
2023-08-10,188400,489856
2023-08-09,189400,366474
2023-08-08,188400,557129
2023-08-07,188000,842043
2023-08-04,192200,378998
2023-08-03,191700,531818
2023-08-02,192500,917045
2023-08-01,199400,698965
2023-07-31,196000,678535
2023-07-28,196800,782058
2023-07-27,197800,1244827
